NUM, PINYIN, EXPECTED
1,ngo5giu3jiu4man4gin6,我叫姚
2,jat1gau2gau2gau2nin4,一九九九年
3,hai6sap6luk6,係十六
5,ngo5uk1kei5jau5de2di4maa1mi4ngo5hai6jat1go3duk6saang1zi2,我屋企有嗲哋媽咪我係一個獨生子
6,dai6jat1taat3zyu6aa4,第一撻住呀
7,ji5ging1hai6hai2hoeng1gong2hung4ham3keoi1ge3wong4bou3faa1jyun4lo1,已經係喺香港紅磡區嘅黃埔花園囉
8,zyu6zo2gei2noi6aa4jing1goi1jau4ngo5ceot1sai3hoi1ci2ji5ging1hai6zyu6hai2go2dou6mou5bun1gwo3gaa1so2ji5jing1goi1dou1hai6sap6luk6nin4,住咗幾耐呀應該由我出世開始已經係住喺嗰度冇搬過家所以應該都係十六年
9,hai6,係
10,lau2lai4gaa3lo1,樓嚟㗎囉
11,dou1hai6fu6mou5lo1de2di4maa1mi4zau6hai6gam2,都係父母囉嗲哋媽咪就係咁
12,dou1hai6jat1joeng6hai6hai2hoeng1gong2daan6hai6ne1go3sat6zat1ge3keoi1ngo5zau6m4hai6hou2cing1co2laa3,都係一樣係喺香港但係呢個實質嘅區我就唔係好清楚啦
13,zou2zik6,祖藉
14,hoeng1haa5aa4m4gei3dak1hou2ci5hai6mai6jau5jat1go3hai6cung4hing3ge3,鄉下呀唔記得好似係咪有一個係重慶嘅
15,ngo5zi6gei2m4hai6hou2gei3dak1laa3,我自己唔係好記得啦
17,jing1goi1zau6m4hai6ge3keoi5dei6jing1goi1hai6daai6luk6lok6lai4ge3,應該就唔係嘅佢地應該係大陸落嚟嘅
18,jing1goi1dou1hai6soeng2saang1wut6hou2di1gwaa3waak6ze2ho2nang4hai6zung1gwok3go2zan6si4ne1go3zing3guk6wan6lyun6go2di1so2ji5keoi5dei6gok3dak1hoeng1gong2go3saang1wut6cing4fong3bei2gaau3hou2gam2mai6bun1zo2lok6lai4lo1,應該都係想生活好啲掛或者可能係中國嗰陣時呢個政局混亂嗰啲所以佢地覺得香港個生活情況比較好咁咪搬咗落嚟囉
19,gung4gung1zau6teng1gwo3zau6hou2ci5waa6keoi5dei6hai6jau4seoi2gwo3lai4gaa3lo1,公公就聽過就好似話佢地係游水過嚟㗎囉
