NUM, PINYIN, EXPECTED
1,Ngo5giu3zou6,我叫做
2,Jat1gau2ng5sei3lin4ceot1sai3,一九五四年出世
4,Ng5saap6ng5lo3,五十五咯
5,Jyun4bun2gaa1ting4teng4ji4gaa1ah3,原本家庭定宜家吖
6,Ji4gaa1Jau5,宜家有
8,giu3zou6,叫做
9,luk6,六
11,luk6go3lo3,六個咯
12,Ngo5la3ngo5zoeng6fu1la3,我喇我丈夫喇
13,ngo5saam1go3haai4zi2la3,我三個孩子喇
14,Jyun4hau6ngo5go3,然後我個
15,laai5laai2la3,奶奶喇
16,Ngo5jin4san1gaa1ting4le3zau6,我原生家庭呢就
17,jau5ah3sei3hing1tai6zi2mui6la3,有啊四兄弟姊妹喇
18,ngo5baa4baa1maa4maa1la3,我爸爸媽媽喇
19,ngo5m4zau6m4hai6ngo5baa4baa1maa4maa1daai3daai6go3wo3,啊我就唔係我爸爸媽媽帶大個喔
20,Ngo5kau5fu2kam5mou5,我舅父妗母
21,daai3daai3daai6ngo5so2ji3zau6,帶帶大我所以就
22,bin3zo2hou2zi3hai6,變咗好似係
23,saam1go3jan4gam2lo3Ze1hai6ngo5m4hai6tung4go2di1hing1tai6zi2mui6jat1cai4daai6lo3,三個人咁咯啫係我唔係同果啲兄弟姊妹一起大咯
25,Ngo5hai6zeng3cung1gaan1ge3Ngo5jau5go2go3gaa1ze1jau5sai3lou2jau5mui2,我系正中間嘅我有哥哥有家姐有細佬有妹
26,Hoeng1Gong2,香港
27,Hoeng1Gong2ge3,香港嘅
28,di1daai6haa6lo3,嗯啲大廈咯
29,go2di1,果啲
30,Ngo5ji4man4hai6,我移民係
31,kei4sat6dai4jat1zi3lei4duk6syu1hai6jat1gau2cat1ng5lin4,其實第一次嚟讀書係一九七五年
32,Daan6hai6cat1baat3lin4zi1hau6ngo5zau6faan1faan1Hoeng1Gong2Jau6baat3lin4zeoi5ji4man4go3lei4jat1zik6dou3ji4gaa1la3,但係七八年之後我就翻返香港然後八零年再移民嚟一直到宜家喇
33,jan1wai6ngo5dei6hai6li1bin6duk6zyu6syu1,因為我哋系呢邊讀住書
34,So2ji3faan1Hoeng1Gong2zau6hou2soen2faan1lei4li1dou6zou6gung1,所以返香港之後好想返嚟呢到做工作咯
35,M4laan4ah3jan1mai6lei4go3Hai2dou6duk6go3syu1ma3,唔難啊因為嚟過系到讀過書啊嘛
36,Duk6syu1go2zan6si4le3wui6,讀書果時呢好
37,hau6saang1ah3ma3lin4zing1ma3zau6m4gok3dak1laan4lo3,後生啊嘛年青啊嘛就唔覺得難咯
38,Bin1zung2gu3si4,邊種故事
40,dung3lo3co3co3gok3dak1li1dou6hai5hou2dung3,凍咯初初覺得呢到係好凍
41,Jat1cat1ng5lin4lei4duk6syu1,一七五年嚟讀書
42,dou1mei5hoi3huk6mai6,都未開學未
43,beng3zo2lo3,病咗咯
