NUM, PINYIN, EXPECTED
1,gaa4,㗎
2,zan1ge2,真嘅
3,waa3lei5sik1aa4,嘩你識呀
5,Ngo5giu3zou6,我叫做
6,Ngo6gei2lin4ceot1sai3Ngo5jat1gau2ng5luk6nin4ceot1sai3,我幾年出世我一九五六年出世
7,laa3ng5sap6ji6seoi3aa3,喇五十二歲啊
8,Ngo5zi6gei2go3gaa1ting4,我自己個家庭
9,Ngo5maai6ngo5baa1,我我
10,Ji4gaa1li1go3gaa1ting4ngo5jau5,而家呢個家庭我有
11,gai3maai4ngo5jau5sei3go3jan4,計埋我有四個人
13,Taai3taai2tung4,太太同
14,jat1zai2jat1leoi2,一仔一女
15,Ngo5zi6gei2ge3gaa1ting4jau5cat1go3jan4,我自己嘅家庭有七個人
16,Baa4baa1maa4maa1,爸爸媽媽
17,gaa1ze1jin4hau6o5jau5saam1go3hing1dai6,家姐然後我有三個兄弟
18,Ngo5hai6mei1ji2go2go3,我係尾二嗰個
20,Ngo5zyu6hai2,我住喺
21,Hoeng1Gong2,香港
22,Gau2Lung4,九龍
23,haa6,吓
24,Ngo5hai2Hoeng2Gong2dou6zoeng2daai6dou3sap6,我喺香港度長大到十
25,sap6baat3seoi3gei2sap6gau2seoi3laa1,十八歲幾十九歲啦
26,Ngo5lei4Gaa1Naa4Daai6hai6wai6zo2duk6syu1,我來加拿大係為咗讀書
27,Ngo5lei4dou2Gaa1Laa2Daai6ngo5heoi3zo2,我嚟到加拿大我去咗
28,Duk6,讀
29,Gam2zau6,噉就
30,Gan1zyu6zau6,跟住就
31,heoi3duk6syu1,去讀書
32,Duk6,讀
33,M4hai6,唔係
34,Ngo5duk6syu1ge3si4hau6ngo5hai2gaa3lei4zo2Gaa1Naa4Daai6ngo5baa4baa1zau6go3san1naa3,我讀書嘅時候我喺嚟咗加拿大我爸爸就過身喇
35,aa6ngo5maa4maa1hai2Hoeng1Gong2,啊我媽媽喺香港
36,Keoi5dei6hai2Zung1Gwok3Daai6Luk6ceot1sai3,佢哋係中國大陸出世
37,hai2Gwong2Dung1gwaa3,喺廣東啩
38,Bin1go3sing4si5ngo5zau6m4zi1laa3,邊個城市我就唔知喇
39,Hai6,係
40,jat6bun2zai2daa2zoeng3zi1hau6ze1hai6,日本仔打仗之後即係
41,daai6koi3ngo5lam2hai6,大概我諗係
43,sei3ling4lin4gei2ze1,四零年幾即係
45,ze1hai6,即係
47,aa6sei3ling4nin4doi6laa1,啊四零年代啦
48,Ng5ling4nin4,五零年
49,sei3ling4nin4doi6sei3ling4nin4,四零年代四零年
50,Hou2naan4laa1gang2hai6,好難啦梗係
52,Jan1wai6ngo5dei6cung4mei5,因為我哋從未
53,heoi3gwo3dai6ji6dou6gaa1maa3,去過第二度㗎嘛
54,gam2ngo5dei6jau5,噉我哋有
55,daan6hai6ngo5zi6gei2jau6,但係我自己有
56,zung6hai6nin4cing1,仲係年青
57,Gam2jau6m4hai6hou2sik1gong2li1dou6ge3jyu5man6,噉又唔係好識講呢度嘅語文
58,Gam2jau6mou5jan4sik1,噉又冇人識
59,gam2Gang2hai6hou2san1fu2laa3,噉梗係好辛苦喇
60,Zeoi3naan4hai6hai6gu1daan1,最難係係孤單
62,Jan1wai6jat1go3jan4lei4dou3haa6hoi1tau4mei6jau5pang4jau5,因為一個人嚟到吓開頭未有朋友
63,haa6gam2zau6zi6gei2jat1go3jan4zau6hou2zik6mok6,吓噉就自己一個人就好寂寞
64,Hai6jat1go3hai6duk6sap6saam1baan1ge3,係一個係讀十三班嘅
65,haa6,吓
66,hai2Hoeng2Gong2hai6duk6jyun4zung1hok6,喺香港係讀完中學
67,Ngo5tung4nin4,我童年
68,Tung4nin4hai6,童年係
69,pan4fu4lo1pan4kwan3,貧扶囉貧困
70,uk1kei2hai6kung4,屋企係窮
71,daan6hai6dou1gei2faai3lok6,但係都幾快樂
72,gei2hoi1sam1gaa3,幾開心㗎
73,Ngo5ge3gu3si6hai6tung4go2si4hau6ngo5dou1hou2jau5zi6seon3,我嘅故事係童年嘅時候我都好有自信
74,jan1wai6ngo5,因為我
75,ngo5duk6syu1m4sai2dim2duk6daan6hai6ngo5dou1duk6dak1gei2ngo5duk6syu1sing6zik1hou2dou1dou1m4co3,我讀書唔使點讀但係我都讀得幾我讀書成績好都都唔錯
76,Ngo5,我
77,hou2kei4gwaai3jan1wai6,好奇怪因為
78,ngo5baa4baa1maa4maa1m4hai6gei1duk1tou4daan6hai6,我爸爸媽媽唔係基督徒但係
79,keoi5dei6ning4jyun2bei2hok6fai3sung3ngo5dei6heoi3gei1duk1gaau3ge3siu2hok6,佢哋寧願畀學費送我哋去基督教嘅小學
80,Gam2ngo5,噉我
81,ngo5duk6jyun4siu2hok6,我讀完小學
82,ngo5jau6heoi3zo2jat1gaan1gei1duk1gaau3ge3zung1hok6duk6,我又去咗一間基督教嘅中學讀
83,nei1go3hou2hou2dak1ji3haa6hou2kei4gwaai3,呢個好好得意吓好奇怪
84,Hai6mou5mou5ge3ze1hai6mou5gai3waak6ge3,係冇冇嘅即係冇計劃嘅
85,Daan6hai6gam2joeng2haa6,但係噉樣吓
86,Jau5di1hou2jau5di1m4hou2laa1,有啲好有啲唔好啦
87,haa6,吓
88,Bin1di1zeoi3hou2aa4,邊啲最好呀
89,Si3go3jau5gei2go3sin1saang1hai6,試過有幾個先生係
90,hai6dak6bit6hou2gaa3haa6hai6di1,係特別好嘅吓係啲
91,dou1hai6di1sou3hok6lou5si1aa3gam2joeng2haa6,都係啲數學老師啊噉樣吓
92,Sing3ging1sin1saang1hai6hou2ok3ge3,聖經先生係好惡嘅
93,Jiu3lim6sing3ging1lo1,要唸聖經囉
94,M4sik1nim6zau6laau6hou2ok3gaa3,唔識唸就鬧好惡㗎
95,Haa6so2ji5ngo5dei6hou2paa3di1sing3ging1sin1saang1,吓所以我哋好怕啲聖經先生
96,Keoi5dei6zau6m4wui5waa6,佢哋就唔會話
97,ze1hai6,即係
98,tai2fat6ze1hai6zau6m4wui5jau5,體罰即係就唔會有
99,fat6ge3,罰嘅
100,Daan6hai6zau6,但係就
101,hou2daai6seng1,好大聲
102,hou2jim4lai6,好嚴厲
103,haa6,吓
104,dong1jin4naa1,當然啦
105,haa6Hoeng1Gong2ge3,吓香港嘅
106,lou5si1ge3,老師嘅
107,so2wai6,所謂
108,gei2leot6hai6,紀律係
109,hai6hou2gan2jiu3ge3,係好緊要嘅
110,ngo5dei6hai6,我哋係
111,jat1ding6jiu3teng1waa6,一定要聽話
112,m4ho2ji5,唔可以
113,faan2deoi3lou5si1ge3,反對老師嘅
114,keoi5aa6m4hoi1sam1lo1gam2ngo5dei6zau6wui5hou2geng1keoi5wui5,佢就唔開心囉噉我哋就會好驚佢會
115,ze1hai6,即係
116,hai6aa3deoi3ngo5dei6m4gung1ping4lo1,係啊對我哋唔公平囉
117,Hai6ngo5dei6zau6hai6,係我哋就係
118,jiu3fuk6cung4aa3,要服從啊
119,zyut6deoi3jiu3fuk6cung4lou5si1,絕對要服從老師
120,li1go3hai6,呢個係
121,ngo5dei6sai3go3duk6syu1go2go3waan4ging2hai6gam2,我哋細個讀書嗰個環境係噉
122,gaa1naa4daai6di1lou5si1,加拿大啲老師
123,Li1dou6hai6bei2gaau3go3jan4zyu3ji6faa3aa1maa3,呢度係比較個人主義化吖嘛
124,so2ji5zau6,所以就
125,hai6bei2di1hok6saang1do1di1zi6jau4,係畀啲學生多啲自由
126,heoi3zi6gei2,去自己
127,jau5zi6gei2ge3kai2faat3,有自己嘅啟發
128,M4hai6zing6hai6teng1sin1saang1gong2,唔係淨係聽先生講
129,so2ji5,所以
130,zau6bei2gaau3zi6jau4hoi1fong3zo2di1lo1,就比較自由開放咗啲囉
131,ze1hai6hoi1fong3,即係開放
132,duk6syu1aa3fung1hei3aa3,讀書啊風氣啊
133,taai3dou6aa3,態度啊
134,dang2gu2lai6nei5zi6gei2heoi3,等鼓勵你自己去
135,heoi3,去
136,heoi3heoi3wan2aa3,去去搵啊
137,zi6gei2heoi3,自己去
138,kai2faat3,啟發
139,Daan6hai6,但係
141,bin3zo2,變咗
142,zou6sing4go2go3hei3,造成嗰個氣
143,go2go3hei3fan1go2go3,嗰個氣氛嗰個
144,waan4ging2le1zau6hai6,環境呢就係
145,bei2gaau3zi6jau4di1lo3ze1hai6keoi5m4wui5,比較自由啲囉即係佢唔會
146,hai6gaam1nei5jat1ding6jiu3teng1saai3keoi5gong2,係監你一定要聽嗮佢講
147,Ngo5dei6jiu3zi6gei2heoi3,我哋要自己去
148,heoi3heoi3heoi3wan2heoi3heoi3wan2daap3on3aa3,去去去搵去去搵答案啊
149,heoi3hok6aa3gam2lo1,去學啊噉囉
151,Jat1jat1di1di1laa1,一一啲啲啦
152,haa6,吓
153,haa6,吓
154,hou2cyu3zau6hai6hai6,好處就係係
155,hai6bei2gaau3ze1hai6,係比較即係
156,giu3ngo5zi6gei2hai6jiu3duk6laap6sing3do1di1lo1,叫我自己係要獨立性多啲囉
157,Daan6hai6go3m4hou2cyu3zau6hai6,但係個唔好處就係
158,mou5zo2go2go3gei2leot6ze1mou5go3,冇咗嗰個紀律即係冇個
159,Zau6zau6hai6,就就係
160,sung1di1lo1di1gam2jau5si4zau6,鬆啲囉啲噉有時就
163,taai3go3zi4jau4jau6jau6,太過自由又又
164,bin3zo2fong3zung6lo1,變咗放縱囉
