NUM, PINYIN, EXPECTED
4,ngo5giu3,我叫
8,jat1gau2gau2cat1nin4ceot1sai3ge3,一九九七年出世嘅
10,hai6hai6laa1,係係啦
11,caa1caa1m4do1ji6sap6jat1,差差唔多二十一
14,ngo5hai2hoeng1gong2ceot1sai3ge3,我喺香港出世嘅
16,uk1kei5jau5de1di4maa1mi4tung4maai4sai3lou2,屋企有嗲哋媽咪同埋細佬
18,ngo5ceot1sai3ge3si4hau6dai6jat1daat6zyu6ge3dei6fong1hai2wong6gok3,我出世嘅時候第一撻住嘅地方喺旺角
19,taai3ping4dou6,太平道
21,hai6lei4ge3daan6hai6ngo5ji5ging1m4hai6hou2gei3dak1jan1wai6,係嚟嘅但係我已經唔係好記得因為
22,ngo5zyu6zo2mou5noi6zi1hau6zau6zyun3zo2heoi3jau6jat1sing4fu6gan6zyu6,我住咗冇耐之後就轉咗去又一城附近住
24,hai6aa3jau6jat1geoi1,係呀又一居
26,jau5siu2siu2jan3zoeng6lo1,有少少印象囉
27,jan1wai6ngo5dou1hai6zyu6zo2gei2nin4gan1zyu6,因為我都係住咗幾年跟住
28,siu2jat1zau6zoi3bun1lo1,小一就再搬囉
30,heoi3ou3wan6zaam6fu6gan6,去奧運站附近
32,ng6hai6laa3,嗯係啦
35,ngo5go3gam2gok3hai6,我個感覺係
36,kei4sat6mou5mat1mou5mat1dak6bit6ngo5gok3dak1,其實冇乜冇乜特別我覺得
37,ze1hai6keoi5hai6jau5ou3wan6zaam6hai6jau5syun3san1ge3,啫係佢係有奧運站係有算新嘅
38,daan6hai6dou1jau5gei2go3uk1cyun1gam2joeng2,但係都有幾個屋村咁樣
39,gam2jau5go3soeng1coeng4hai6hai6hai2zung1gaan1gam2joeng2laa1,咁有個商場係係喺中間咁樣啦
40,gam2ngo5sing4jat6gok3dak1keoi5jau5siu2siu2hai6zi6sing4jat1gok3lo1,咁我成日覺得佢有少少係自成一角囉
41,jan1wai6keoi5bei2tiu4gung1lou6dong2zyu6zo2ge3,因為佢比條公路擋住咗嘅
42,gam2zik1hai6jyu4gwo2nei5heoi3wong6gok3waak6ze2heoi3daai6gok3zeoi2fu6gan6ne1nei5zau6jiu3zoi3haang4gwo3tin1kiu4gam2joeng2lo1,咁即係如果你去旺角或者去大角咀附近呢你就要再行過天橋咁樣囉
43,so2ji5ngo5gok3dak1keoi5zi6gei2hai2go3gok3lok1tau2dou6lo1,所以我覺得佢自己喺個角落頭度囉
45,ji5cin4m4gok3ge3daan6hai6ngo5ji4gaa1gok3dak1ho2nang4ze1hai6hei2do1hou2do1san1lau2so2ji5jyut6lei4jyut6do1jan4lo1,以前唔覺嘅但係我而家覺得可能啫係起多好多新樓所以越嚟越多人囉
47,kei4sat6syun3fong1bin6ge3,其實算方便嘅
48,jan1wai6jau5dei6tit3zaam6laa1,因為有地鐵站啦
49,daan6hai6jan1wai6keoi5bei2gaau3hai2si5keoi1ge3pin1jyun5ge3jat1go3gok3dou6ne1,但係因為佢比較喺市區嘅偏遠嘅一個角度呢
50,so2ji5kei4sat6ho2do1siu2baa1baa1si6dou1m4dou3lo1,所以其實好多小巴巴士都唔到囉
52,hai6zyu2jiu3hai6dei6tit3,係主要係地鐵
55,ceoi3si6dou1jau5ge3,趣事都有嘅
56,jan1wai6ji5cin4di1jau3zi6jyun2tung4hok6zau6wui5lei4waan2laa1,因為以前啲幼稚園同學就會嚟玩啦
57,gam2jau5jat1go3jau3zi6jyun2tung4hok6zau6zyu6ngo5gaak3lei4go2zo6ge3gam2,咁有一個幼稚園同學就住我隔離嗰座嘅咁
58,ji5cin4fong3hok6ge3si4hau6zau6wui5ze1hai6dou1wui5lok6heoi3gung1jyun2waan2ngo5dei6,以前放學嘅時候就會啫係都會落去公園玩我地
