NUM, PINYIN, EXPECTED
1,ngo5giu3,我叫
2,ngo5gam1nin4sap6sei3seoi3,我今年十四歲
3,ngo5sei3yjut6ji6hou6ji6ling4ling4ji6ceot1sai3,我四月二號二零零二出世
4,ngo5hai2,我喺
5,coet1sai3,出世
6,ngo5gei2go3jyu6,我幾個月
7,go2zan6si4bun1zo2lei6,嗰陣時搬咗蒞
8,jing1goi1hai6luk6jyut6ji6ling4ling4ji6go2zan6si4bun1gwo3lei6do1leon4do1,應該係六月二零零二嗰陣時搬過蒞多倫多
9,ngo5ng4hai6zan1hai6hou2,我唔係真係好
10,zung1ji3ceot1min6do1gung1jyun4jau6kan5tou4syu1gun2ngo5jau5gei2go3pang4jau5dou1hai2ji1dou3fu6gan6zyu6,鍾意出面多公園又近圖書館我有幾個朋友都喺依到附近住
11,gam2ping4si4dou1jau5je5zou6,咁平時都有嘢做
13,tai2syu1jau5si4wui2waak6waa2waak6ze2zing2je5,睇書有時會畫畫或者整嘢
14,bat1gwo3seng4jat6dou1ng4tung4,不過成日都唔同
15,hou2do1syu1,好多書
16,ngo5ping4si4zau6hai6hai2tou4syu1gun2zau6gam2tai2haa5tai2haa2,我平時就係喺圖書館就咁睇下睇吓啲
17,giu3me1jyu4gwo2ngo5zung1ji3gam2ngo5zau6wui2tai2haa2tai2haa2,叫咩如果我鍾意咁我就會睇吓睇吓
18,seong6min6go2di1tou4waa2me1joeng6tai2haa2jyu4gwo2ngo5gok3dak1ngo5wui2zung1ji3ngo5zau6wui2tai2haa2hau6min6gong2me1,上面嗰啲圖畫咩樣睇吓如果我覺得我會鍾意我就會睇吓後面講咩
19,gam2gan1zyu6zau6jyu4gwo3gok3dak1dou1zung2wui2soeng2tai2gam2ngo5zau6wui2ze3go2bun2syu1lei6tai2,咁跟住就如果覺得都仲會想睇咁我就會借嗰本書蒞睇
21,ngo5tai2dak1taai3do1syu1,我睇得太多書
22,zau6jau5si4mou5zan1hai6,就有時冇真係
23,hai6tai2bin2bun2gam2gan1zyu6bin1bun2jan1wai6ngo5jau5si4wui2hai6jat1bun2syu1tai2gei2go3gam2gan1zyu6wui2hoi1ci2tai2bun2syu1,係睇邊本咁跟住邊本因為我有時會係一本書睇幾個咁跟住會開始睇第二本書
24,gam2gan1zyu6jau5si4ngo5wui2jat1ci3tai2jaa6gei2bun2syu1,咁跟住有時我會一次睇廿幾本書
25,jiu3tai2haa2bun2syu1gei2hau5sin1zi1jiu3tai2gei2noi6,要睇吓本書幾厚先知要睇幾耐
26,bat1gwo3ping4si4jat1go3zung1zau6tai2jyun4jat1bun2syu1,不過平時一個鐘就睇完一本書
27,hai6aa3,係呀
30,jau5hou2do1bun2dou1hai6tai2jyun4wui2zoi3tai2,有好多本都係睇完會再睇
31,gam2ngo5zau6ng4hai6zan1hai6gei3dak1jan1wai6ngo5dei6hai2uk1kei5go2di1syu1bun2bun2ngo5dou1tai2go3hou2do1ci3,咁我就唔係真係記得因為我哋喺屋企嗰啲書本本我都睇過好多次
32,jau5si4bat1gwo3ngo5hai6tai2go2zan6si4wui2tai2di1tou4waa2tai2haa2heoi5dei2dim2waak6ng4hai6zan1hai6,有時不過我係睇嗰陣時會睇啲圖畫睇吓佢哋點畫唔係真係
33,zung1ji3tai2,鍾意睇
34,ngo5zung1ji3tai2di1tou4waa2bat1gwo3go3go2di1je5,我鍾意睇啲圖畫不過個嗰啲嘢
35,jau5si4ngo5gok3dak1hou2kei4gwaai3,有時我覺得好奇怪
36,gam2ngo5zing6hai6tai2di1tou4waa2tai2haa2heoi5dei6dim2waak6,咁我剩係睇啲圖畫睇吓佢哋點畫
37,di1je5ngo5dim2ho2ji5jung6heoi5dei2waak6go2i1lei6jung6hai2ngo5waak6go2di1je5,啲嘢我點可以用佢哋畫嗰啲蒞用喺我畫嗰啲嘢
39,hou2naan4gong2jan1wai6,好難講因為
40,ngo5jau5waak6jan4jau6waak6dak1ng4hou2bat1gwo3ngo5zung1ji3ngo5ping4si4zau6zung1waak4tau4faat3,我有畫人又畫得唔好不過我鍾意我平時就鍾意畫頭髮
41,bat1gwo3jau5si4joek6gwo2ngo5gok3dak1taai3naan4ngo5zau6mou5gam2zung1ji3waak6,不過有時若果我覺得太難我就冇咁鍾意畫
42,gam2gan1zyu6jau5si4zung1ji3jung6seoi2coi2,咁跟住有時鍾意用水彩
43,di1fung1ging2waak6ze2faa1,啲風景或者花
44,jiu3tai2haa2ngo5hai6go3sam1cing4hai6dim2,要睇吓我係個心情係點
